FIPS,County_Name,Active_Voters,Inactive_Voters,Total_Voters
001,Adair,12157,2501,14658
003,Andrew,10981,892,11873
005,Atchison,3674,269,3943
007,Audrain,13483,1890,15373
009,Barry,18283,2077,20360
011,Barton,7912,722,8634
013,Bates,10881,420,11301
015,Benton,12438,1112,13550
017,Bollinger,7939,248,8187
019,Boone,94702,20347,115049
021,Buchanan,46855,7468,54323
023,Butler,24821,4700,29521
025,Caldwell,5992,63,6055
027,Callaway,25046,3164,28210
029,Camden,27428,2527,29955
031,Cape Girardeau,47312,5450,52762
033,Carroll,5924,349,6273
035,Carter,4476,112,4588
037,Cass,67927,3414,71341
039,Cedar,7892,301,8193
041,Chariton,5288,347,5635
043,Christian,50011,4522,54533
045,Clark,4600,358,4958
047,Clay,135121,21377,156498
049,Clinton,13382,944,14326
051,Cole,46672,6173,52845
053,Cooper,10420,969,11389
055,Crawford,14696,1299,15995
057,Dade,5614,298,5912
059,Dallas,10025,884,10909
061,Daviess,4835,192,5027
063,De Kalb,5900,650,6550
065,Dent,8736,998,9734
067,Douglas,8839,1078,9917
069,Dunklin,16413,1390,17803
071,Franklin,61326,8058,69384
073,Gasconade,9753,768,10521
075,Gentry,4698,22,4720
077,Greene,159327,30869,190196
079,Grundy,6218,523,6741
081,Harrison,4731,563,5294
083,Henry,14181,1615,15796
085,Hickory,6288,307,6595
087,Holt,3101,383,3484
089,Howard,6501,304,6805
091,Howell,23349,3237,26586
093,Iron,6292,610,6902
095,Jackson,215005,31366,246371
097,Jasper,64493,14833,79326
099,Jefferson,131567,6717,138284
101,Johnson,27269,4814,32083
999,Kansas City,181885,33732,215617
103,Knox,2491,119,2610
105,Laclede,21314,1592,22906
107,Lafayette,21969,1380,23349
109,Lawrence,21606,2235,23841
111,Lewis,6189,509,6698
113,Lincoln,31717,3313,35030
115,Linn,7831,819,8650
117,Livingston,8841,650,9491
121,Macon,10065,294,10359
123,Madison,7523,88,7611
125,Maries,5747,461,6208
127,Marion,17414,1916,19330
119,McDonald,11538,900,12438
129,Mercer,2276,270,2546
131,Miller,15786,1320,17106
133,Mississippi,8266,606,8872
135,Moniteau,8707,579,9286
137,Monroe,5724,139,5863
139,Montgomery,7586,563,8149
141,Morgan,11464,1105,12569
143,New Madrid,10848,1573,12421
145,Newton,34422,5076,39498
147,Nodaway,11893,1633,13526
149,Oregon,6719,624,7343
151,Osage,9008,407,9415
153,Ozark,6784,166,6950
155,Pemiscot,10300,1241,11541
157,Perry,11762,366,12128
159,Pettis,24500,1528,26028
161,Phelps,25363,3105,28468
163,Pike,9998,1098,11096
165,Platte,59128,5579,64707
167,Polk,17405,2220,19625
169,Pulaski,17303,3975,21278
171,Putnam,3401,333,3734
173,Ralls,6695,355,7050
175,Randolph,14432,1463,15895
177,Ray,14538,3285,17823
179,Reynolds,4586,423,5009
181,Ripley,8218,915,9133
195,Saline,12769,1816,14585
197,Schuyler,2811,64,2875
199,Scotland,2852,212,3064
201,Scott,23854,2563,26417
203,Shannon,4906,219,5125
205,Shelby,4271,342,4613
183,St. Charles,234364,21566,255930
185,St. Clair,6175,501,6676
187,St. Francois,32962,4344,37306
189,St. Louis,671191,78686,749877
510,St. Louis City,178751,39846,218597
186,Ste. Genevieve,12317,629,12946
207,Stoddard,19197,1212,20409
209,Stone,20508,2605,23113
211,Sullivan,3565,827,4392
213,Taney,30337,4705,35042
215,Texas,14440,1600,16040
217,Vernon,11536,1677,13213
219,Warren,20679,1252,21931
221,Washington,12838,1694,14532
223,Wayne,8294,901,9195
225,Webster,20137,2582,22719
227,Worth,1478,42,1520
229,Wright,10981,1475,12456
